Alloys,Temp,Avg_Tm
Cr-Fe-Hf-Mn,2100.0,2100.0
Cr-Fe-Hf-Ta,2500.0,2500.0
Cr-Fe-Hf-Ti,2200.0,2200.0
Cr-Fe-Hf-V,2200.0,2200.0
Cr-Fe-Hf-W,2600.0,2600.0
Cr-Fe-Mn-Ta,2200.0,2200.0
Cr-Fe-Mn-Ti,1900.0,1900.0
Cr-Fe-Mn-V,1000.0,2000.0
Cr-Fe-Mn-W,2400.0,2400.0
Cr-Fe-Ta-Ti,2200.0,2400.0
Cr-Fe-Ta-V,2000.0,2400.0
Cr-Fe-Ta-W,2800.0,2800.0
Cr-Fe-Ti-V,2100.0,2100.0
Cr-Fe-Ti-W,2300.0,2500.0
Cr-Fe-V-W,1500.0,2500.0
Cr-Hf-Mn-Ta,2200.0,2400.0
Cr-Hf-Mn-Ti,2000.0,2100.0
Cr-Hf-Mn-V,2100.0,2100.0
Cr-Hf-Mn-W,2400.0,2500.0
Cr-Hf-Ta-Ti,2200.0,2500.0
Cr-Hf-Ta-V,2400.0,2600.0
Cr-Hf-Ta-W,2500.0,3000.0
Cr-Hf-Ti-V,2200.0,2300.0
Cr-Hf-Ti-W,2200.0,2600.0
Cr-Hf-V-W,2100.0,2700.0
Cr-Mn-Ta-Ti,1800.0,2300.0
Cr-Mn-Ta-V,1700.0,2300.0
Cr-Mn-Ta-W,2100.0,2700.0
Cr-Mn-Ti-V,1100.0,2000.0
Cr-Mn-Ti-W,1600.0,2400.0
Cr-Mn-V-W,1300.0,2400.0
Cr-Ta-Ti-V,1400.0,2400.0
Cr-Ta-Ti-W,2000.0,2800.0
Cr-Ta-V-W,1900.0,2900.0
Cr-Ti-V-W,1200.0,2500.0
Fe-Hf-Mn-Ta,2300.0,2300.0
Fe-Hf-Mn-Ti,2000.0,2000.0
Fe-Hf-Mn-V,2100.0,2100.0
Fe-Hf-Mn-W,2400.0,2400.0
Fe-Hf-Ta-Ti,2000.0,2400.0
Fe-Hf-Ta-V,2100.0,2500.0
Fe-Hf-Ta-W,2900.0,2900.0
Fe-Hf-Ti-V,1600.0,2200.0
Fe-Hf-Ti-W,2400.0,2500.0
Fe-Hf-V-W,2600.0,2600.0
Fe-Mn-Ta-Ti,2000.0,2200.0
Fe-Mn-Ta-V,1800.0,2200.0
Fe-Mn-Ta-W,2600.0,2600.0
Fe-Mn-Ti-V,1800.0,1900.0
Fe-Mn-Ti-W,2300.0,2300.0
Fe-Mn-V-W,2400.0,2400.0
Fe-Ta-Ti-V,1800.0,2400.0
Fe-Ta-Ti-W,2300.0,2700.0
Fe-Ta-V-W,2800.0,2800.0
Fe-Ti-V-W,2100.0,2500.0
Hf-Mn-Ta-Ti,1700.0,2400.0
Hf-Mn-Ta-V,1900.0,2400.0
Hf-Mn-Ta-W,2600.0,2800.0
Hf-Mn-Ti-V,1400.0,2100.0
Hf-Mn-Ti-W,2100.0,2500.0
Hf-Mn-V-W,2100.0,2500.0
Hf-Ta-Ti-V,1600.0,2500.0
Hf-Ta-Ti-W,900.0,2900.0
Hf-Ta-V-W,1200.0,3000.0
Hf-Ti-V-W,1100.0,2600.0
Mn-Ta-Ti-V,1600.0,2300.0
Mn-Ta-Ti-W,1800.0,2700.0
Mn-Ta-V-W,1800.0,2700.0
Mn-Ti-V-W,1300.0,2400.0
Ta-Ti-V-W,1000.0,2800.0
