,1,2,3,4,umap_x_coordinate,umap_y_coordinate
0,0.0,0.0,0.0,1.0,-4.144472,20.769041
1,0.0,0.0,0.05263157894736842,0.9473684210526316,-3.6723356,20.965982
2,0.0,0.0,0.10526315789473684,0.8947368421052632,-2.8305795,20.136467
3,0.0,0.0,0.15789473684210525,0.8421052631578947,-1.6061084,19.1718
4,0.0,0.0,0.21052631578947367,0.7894736842105263,-0.32797593,18.10864
5,0.0,0.0,0.2631578947368421,0.736842105263158,1.0883206,16.924234
6,0.0,0.0,0.3157894736842105,0.6842105263157895,2.4402092,15.593999
7,0.0,0.0,0.3684210526315789,0.631578947368421,4.0028453,14.292888
8,0.0,0.0,0.42105263157894735,0.5789473684210527,5.183389,13.139269
9,0.0,0.0,0.47368421052631576,0.5263157894736843,6.456307,11.850513
10,0.0,0.0,0.5263157894736842,0.4736842105263158,7.588995,10.800939
11,0.0,0.0,0.5789473684210527,0.42105263157894735,8.791746,9.624375
12,0.0,0.0,0.631578947368421,0.368421052631579,10.085488,8.655665
13,0.0,0.0,0.6842105263157894,0.3157894736842106,11.3799515,7.558554
14,0.0,0.0,0.7368421052631579,0.26315789473684215,12.6501875,6.579928
15,0.0,0.0,0.7894736842105263,0.21052631578947367,13.768503,5.660708
16,0.0,0.0,0.8421052631578947,0.1578947368421053,14.949961,4.9754586
17,0.0,0.0,0.894736842105263,0.10526315789473695,16.113338,4.1283298
18,0.0,0.0,0.9473684210526315,0.052631578947368474,16.949978,3.6832747
19,0.0,0.0,1.0,0.0,17.097307,3.3451655
20,0.05263157894736842,0.0,0.0,0.9473684210526316,-4.1217885,20.572716
21,0.05263157894736842,0.0,0.05263157894736842,0.8947368421052632,-3.7013981,20.122814
22,0.05263157894736842,0.0,0.10526315789473684,0.8421052631578947,-2.505981,19.274368
23,0.05263157894736842,0.0,0.15789473684210525,0.7894736842105263,-1.0811013,18.207823
24,0.05263157894736842,0.0,0.21052631578947367,0.736842105263158,0.25001305,17.052681
25,0.05263157894736842,0.0,0.2631578947368421,0.6842105263157895,1.5964242,15.776195
26,0.05263157894736842,0.0,0.3157894736842105,0.631578947368421,2.966151,14.656164
27,0.05263157894736842,0.0,0.3684210526315789,0.5789473684210527,4.3319926,13.523698
28,0.05263157894736842,0.0,0.42105263157894735,0.5263157894736843,5.6097608,12.105617
29,0.05263157894736842,0.0,0.47368421052631576,0.4736842105263158,6.773724,10.992195
30,0.05263157894736842,0.0,0.5263157894736842,0.42105263157894735,8.048321,9.651882
31,0.05263157894736842,0.0,0.5789473684210527,0.368421052631579,9.347701,8.625395
32,0.05263157894736842,0.0,0.631578947368421,0.3157894736842106,10.56661,7.5790772
33,0.05263157894736842,0.0,0.6842105263157894,0.26315789473684226,11.722873,6.6742086
34,0.05263157894736842,0.0,0.7368421052631579,0.21052631578947367,13.013132,5.6376243
35,0.05263157894736842,0.0,0.7894736842105263,0.1578947368421053,14.261345,4.729744
36,0.05263157894736842,0.0,0.8421052631578947,0.10526315789473695,15.532066,3.943897
37,0.05263157894736842,0.0,0.894736842105263,0.052631578947368585,16.742796,3.3427978
38,0.05263157894736842,0.0,0.9473684210526315,0.0,17.250864,2.918566
39,0.10526315789473684,0.0,0.0,0.8947368421052632,-4.0718436,19.358791
40,0.10526315789473684,0.0,0.05263157894736842,0.8421052631578947,-3.3083112,18.75209
41,0.10526315789473684,0.0,0.10526315789473684,0.7894736842105263,-2.1476722,17.733438
42,0.10526315789473684,0.0,0.15789473684210525,0.736842105263158,-0.8597286,16.571098
43,0.10526315789473684,0.0,0.21052631578947367,0.6842105263157895,0.51348835,15.256914
44,0.10526315789473684,0.0,0.2631578947368421,0.631578947368421,1.7101437,14.057113
45,0.10526315789473684,0.0,0.3157894736842105,0.5789473684210527,3.038237,12.823361
46,0.10526315789473684,0.0,0.3684210526315789,0.5263157894736843,4.265418,11.709846
47,0.10526315789473684,0.0,0.42105263157894735,0.4736842105263158,5.542376,10.245619
48,0.10526315789473684,0.0,0.47368421052631576,0.42105263157894735,6.860324,9.131409
49,0.10526315789473684,0.0,0.5263157894736842,0.368421052631579,7.931938,7.8941717
50,0.10526315789473684,0.0,0.5789473684210527,0.3157894736842105,9.277653,6.6789865
51,0.10526315789473684,0.0,0.631578947368421,0.26315789473684215,10.6503725,5.61451
52,0.10526315789473684,0.0,0.6842105263157894,0.21052631578947378,11.755394,4.6080613
53,0.10526315789473684,0.0,0.7368421052631579,0.1578947368421053,13.248061,3.67342
54,0.10526315789473684,0.0,0.7894736842105263,0.10526315789473684,14.637748,2.7726536
55,0.10526315789473684,0.0,0.8421052631578947,0.052631578947368474,15.995846,2.0378754
56,0.10526315789473684,0.0,0.894736842105263,1.1102230246251565e-16,16.611885,2.1156468
57,0.15789473684210525,0.0,0.0,0.8421052631578947,-3.492999,17.735413
58,0.15789473684210525,0.0,0.05263157894736842,0.7894736842105263,-3.0295978,16.737394
59,0.15789473684210525,0.0,0.10526315789473684,0.736842105263158,-2.0287066,15.587322
60,0.15789473684210525,0.0,0.15789473684210525,0.6842105263157895,-0.5485006,14.548915
61,0.15789473684210525,0.0,0.21052631578947367,0.631578947368421,0.645154,13.322585
62,0.15789473684210525,0.0,0.2631578947368421,0.5789473684210527,1.8180821,11.928236
63,0.15789473684210525,0.0,0.3157894736842105,0.5263157894736843,3.093339,10.727456
64,0.15789473684210525,0.0,0.3684210526315789,0.4736842105263158,4.426298,9.201536
65,0.15789473684210525,0.0,0.42105263157894735,0.42105263157894735,5.5475087,8.123234
