,1,2,3,umap_x_coordinate,umap_y_coordinate
0,0.0,0.0,1.0,22.831385,10.395322
1,0.05263157894736842,0.0,0.9473684210526316,22.801876,10.022762
2,0.10526315789473684,0.0,0.8947368421052632,23.666338,9.826636
3,0.15789473684210525,0.0,0.8421052631578947,25.015377,9.373908
4,0.21052631578947367,0.0,0.7894736842105263,26.729094,9.131636
5,0.2631578947368421,0.0,0.736842105263158,28.242132,9.232578
6,0.3157894736842105,0.0,0.6842105263157895,29.498018,8.627372
7,0.3684210526315789,0.0,0.631578947368421,30.846935,8.481606
8,0.42105263157894735,0.0,0.5789473684210527,32.50091,8.302682
9,0.47368421052631576,0.0,0.5263157894736843,33.935783,8.20042
10,0.5263157894736842,0.0,0.4736842105263158,35.433727,7.6667905
11,0.5789473684210527,0.0,0.42105263157894735,37.02783,7.5358105
12,0.631578947368421,0.0,0.368421052631579,38.18221,6.9429345
13,0.6842105263157894,0.0,0.3157894736842106,39.77164,7.002023
14,0.7368421052631579,0.0,0.26315789473684215,41.225685,6.5002837
15,0.7894736842105263,0.0,0.21052631578947367,42.536938,6.2243295
16,0.8421052631578947,0.0,0.1578947368421053,43.930275,5.9939694
17,0.894736842105263,0.0,0.10526315789473695,45.06457,5.510144
18,0.9473684210526315,0.0,0.052631578947368474,45.94163,4.7716675
19,1.0,0.0,0.0,46.46378,5.2641506
20,0.0,0.05263157894736842,0.9473684210526316,22.558578,10.785407
21,0.05263157894736842,0.05263157894736842,0.8947368421052632,23.34483,10.505204
22,0.10526315789473684,0.05263157894736842,0.8421052631578947,24.695314,10.051675
23,0.15789473684210525,0.05263157894736842,0.7894736842105263,25.868742,9.938017
24,0.21052631578947367,0.05263157894736842,0.736842105263158,27.56036,9.702492
25,0.2631578947368421,0.05263157894736842,0.6842105263157895,29.051517,9.481407
26,0.3157894736842105,0.05263157894736842,0.631578947368421,30.29421,9.349739
27,0.3684210526315789,0.05263157894736842,0.5789473684210527,32.011368,8.97799
28,0.42105263157894735,0.05263157894736842,0.5263157894736843,33.3484,8.902392
29,0.47368421052631576,0.05263157894736842,0.4736842105263158,35.146843,8.556996
30,0.5263157894736842,0.05263157894736842,0.42105263157894735,36.24121,8.42616
31,0.5789473684210527,0.05263157894736842,0.368421052631579,37.867077,8.00304
32,0.631578947368421,0.05263157894736842,0.3157894736842106,39.103504,7.5625377
33,0.6842105263157894,0.05263157894736842,0.26315789473684226,40.656586,7.2693324
34,0.7368421052631579,0.05263157894736842,0.21052631578947367,42.147167,7.4137225
35,0.7894736842105263,0.05263157894736842,0.1578947368421053,43.497936,6.493555
36,0.8421052631578947,0.05263157894736842,0.10526315789473695,44.793713,6.296007
37,0.894736842105263,0.05263157894736842,0.052631578947368585,45.83321,5.7834997
38,0.9473684210526315,0.05263157894736842,0.0,47.020374,5.6178284
39,0.0,0.10526315789473684,0.8947368421052632,23.457134,11.358276
40,0.05263157894736842,0.10526315789473684,0.8421052631578947,24.220507,11.757062
41,0.10526315789473684,0.10526315789473684,0.7894736842105263,25.395538,11.512213
42,0.15789473684210525,0.10526315789473684,0.736842105263158,27.222488,11.383215
43,0.21052631578947367,0.10526315789473684,0.6842105263157895,28.54982,10.964175
44,0.2631578947368421,0.10526315789473684,0.631578947368421,30.103409,10.983106
45,0.3157894736842105,0.10526315789473684,0.5789473684210527,31.394735,10.466664
46,0.3684210526315789,0.10526315789473684,0.5263157894736843,32.955574,10.368568
47,0.42105263157894735,0.10526315789473684,0.4736842105263158,34.633766,10.092822
48,0.47368421052631576,0.10526315789473684,0.42105263157894735,35.77701,9.577018
49,0.5263157894736842,0.10526315789473684,0.368421052631579,37.43883,9.346217
50,0.5789473684210527,0.10526315789473684,0.3157894736842105,38.909073,9.1609335
51,0.631578947368421,0.10526315789473684,0.26315789473684215,40.232365,9.110988
52,0.6842105263157894,0.10526315789473684,0.21052631578947378,41.952744,8.357835
53,0.7368421052631579,0.10526315789473684,0.1578947368421053,43.299805,8.302951
54,0.7894736842105263,0.10526315789473684,0.10526315789473684,44.458572,7.910273
55,0.8421052631578947,0.10526315789473684,0.052631578947368474,45.818844,7.1364093
56,0.894736842105263,0.10526315789473684,1.1102230246251565e-16,46.625843,6.4011955
57,0.0,0.15789473684210525,0.8421052631578947,24.27844,13.01208
58,0.05263157894736842,0.15789473684210525,0.7894736842105263,25.198267,13.22676
59,0.10526315789473684,0.15789473684210525,0.736842105263158,26.418375,13.044622
60,0.15789473684210525,0.15789473684210525,0.6842105263157895,28.129856,12.823803
61,0.21052631578947367,0.15789473684210525,0.631578947368421,29.722248,12.562771
62,0.2631578947368421,0.15789473684210525,0.5789473684210527,31.214947,12.578182
63,0.3157894736842105,0.15789473684210525,0.5263157894736843,32.531315,12.08542
64,0.3684210526315789,0.15789473684210525,0.4736842105263158,34.2086,12.048885
65,0.42105263157894735,0.15789473684210525,0.42105263157894735,35.670647,11.736746
66,0.47368421052631576,0.15789473684210525,0.368421052631579,36.952496,11.41575
67,0.5263157894736842,0.15789473684210525,0.3157894736842106,38.61299,11.080677
68,0.5789473684210527,0.15789473684210525,0.26315789473684204,40.15506,10.752703
69,0.631578947368421,0.15789473684210525,0.21052631578947367,41.57257,10.586948
70,0.6842105263157894,0.15789473684210525,0.1578947368421053,42.929543,9.98878
71,0.7368421052631579,0.15789473684210525,0.10526315789473695,44.76556,9.4485
72,0.7894736842105263,0.15789473684210525,0.05263157894736836,45.615425,9.094087
73,0.8421052631578947,0.15789473684210525,0.0,46.654064,8.332178
